report_section,figure_slice,model_family,model_name,dataset,thinking_mode,evaluation_mode,history_mode,dummy_type,provenance_label,pool_label,k,status,required_for_figure,run_id,num_items,accuracy,format_failure_rate,delta_vs_single_turn_k0,result_json_path,note
main,main_multimodel_external_contamination,qwen25,Qwen/Qwen2.5-1.5B-Instruct,gpqa,off,multi_turn,stored_history,cross_domain,stored_correct,correct,2,complete,,run-20260318T143624Z-509f7cec,448,0.28348214285714285,0.002232142857142857,0.08035714285714285,results/runs/qwen25_1p5b_gpqa_stored_cross_domain_correct_thinking_off_k2__509f7cec188bc685/run-20260318T143624Z-509f7cec.json,
main,main_multimodel_external_contamination,qwen25,Qwen/Qwen2.5-1.5B-Instruct,gpqa,off,multi_turn,stored_history,cross_domain,stored_correct,correct,4,complete,,run-20260318T143623Z-5b0b1ec1,448,0.26339285714285715,0.011160714285714286,0.06026785714285715,results/runs/qwen25_1p5b_gpqa_stored_cross_domain_correct_thinking_off_k4__5b0b1ec120c5aeaf/run-20260318T143623Z-5b0b1ec1.json,
main,main_multimodel_external_contamination,qwen25,Qwen/Qwen2.5-1.5B-Instruct,gpqa,off,multi_turn,stored_history,cross_domain,stored_correct,correct,8,complete,,run-20260318T143628Z-3aa54d63,448,0.28125,0.011160714285714286,0.078125,results/runs/qwen25_1p5b_gpqa_stored_cross_domain_correct_thinking_off_k8__3aa54d6343aab826/run-20260318T143628Z-3aa54d63.json,
main,main_multimodel_external_contamination,qwen25,Qwen/Qwen2.5-1.5B-Instruct,gpqa,off,multi_turn,stored_history,cross_domain,stored_correct,correct,16,complete,,run-20260318T143607Z-04ec5e54,448,0.25,0.008928571428571428,0.046875,results/runs/qwen25_1p5b_gpqa_stored_cross_domain_correct_thinking_off_k16__04ec5e54bb976493/run-20260318T143607Z-04ec5e54.json,
main,main_multimodel_external_contamination,qwen25,Qwen/Qwen2.5-1.5B-Instruct,gpqa,off,multi_turn,stored_history,cross_domain,stored_incorrect,incorrect,2,complete,,run-20260318T143651Z-26ef0b5e,448,0.26785714285714285,0.004464285714285714,0.06473214285714285,results/runs/qwen25_1p5b_gpqa_stored_cross_domain_incorrect_thinking_off_k2__26ef0b5e9a4451a9/run-20260318T143651Z-26ef0b5e.json,
main,main_multimodel_external_contamination,qwen25,Qwen/Qwen2.5-1.5B-Instruct,gpqa,off,multi_turn,stored_history,cross_domain,stored_incorrect,incorrect,4,complete,,run-20260318T143700Z-0f47116e,448,0.25,0.006696428571428571,0.046875,results/runs/qwen25_1p5b_gpqa_stored_cross_domain_incorrect_thinking_off_k4__0f47116e89617706/run-20260318T143700Z-0f47116e.json,
main,main_multimodel_external_contamination,qwen25,Qwen/Qwen2.5-1.5B-Instruct,gpqa,off,multi_turn,stored_history,cross_domain,stored_incorrect,incorrect,8,complete,,run-20260318T143729Z-ccdca56d,448,0.2700892857142857,0.002232142857142857,0.0669642857142857,results/runs/qwen25_1p5b_gpqa_stored_cross_domain_incorrect_thinking_off_k8__ccdca56ddcd64aec/run-20260318T143729Z-ccdca56d.json,
main,main_multimodel_external_contamination,qwen25,Qwen/Qwen2.5-1.5B-Instruct,gpqa,off,multi_turn,stored_history,cross_domain,stored_incorrect,incorrect,16,complete,,run-20260318T143711Z-76c4efad,448,0.24776785714285715,0.013392857142857142,0.04464285714285715,results/runs/qwen25_1p5b_gpqa_stored_cross_domain_incorrect_thinking_off_k16__76c4efad72a36831/run-20260318T143711Z-76c4efad.json,
main,main_multimodel_external_contamination,qwen25,Qwen/Qwen2.5-1.5B-Instruct,gsm8k,off,multi_turn,stored_history,cross_domain,stored_correct,correct,2,complete,,run-20260318T144317Z-c26eca9e,1319,0.10614101592115238,0.0,-0.4238059135708871,results/runs/qwen25_1p5b_gsm8k_stored_cross_domain_correct_thinking_off_k2__c26eca9e232495db/run-20260318T144317Z-c26eca9e.json,
main,main_multimodel_external_contamination,qwen25,Qwen/Qwen2.5-1.5B-Instruct,gsm8k,off,multi_turn,stored_history,cross_domain,stored_correct,correct,4,complete,,run-20260318T144400Z-4d02573b,1319,0.09628506444275967,0.0,-0.43366186504927984,results/runs/qwen25_1p5b_gsm8k_stored_cross_domain_correct_thinking_off_k4__4d02573bae40a2ea/run-20260318T144400Z-4d02573b.json,
