model_key,benchmark_key,domain,sample_type,relation,k,tier,planned_status,execution_bucket
qwen25_7b_instruct,gsm8k,math,model_correct,same_benchmark,0,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_benchmark,1,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_benchmark,2,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_benchmark,4,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_benchmark,8,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_benchmark,16,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_benchmark,32,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_benchmark,0,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_benchmark,1,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_benchmark,2,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_benchmark,4,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_benchmark,8,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_benchmark,16,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_benchmark,32,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_domain_other_benchmark,0,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_domain_other_benchmark,1,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_domain_other_benchmark,2,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_domain_other_benchmark,4,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_domain_other_benchmark,8,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_domain_other_benchmark,16,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,same_domain_other_benchmark,32,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_domain_other_benchmark,0,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_domain_other_benchmark,1,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_domain_other_benchmark,2,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_domain_other_benchmark,4,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_domain_other_benchmark,8,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_domain_other_benchmark,16,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,same_domain_other_benchmark,32,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,cross_domain,0,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,cross_domain,1,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,cross_domain,2,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,cross_domain,4,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,cross_domain,8,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,cross_domain,16,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_correct,cross_domain,32,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,cross_domain,0,tier1,queued,bulk_ready
qwen25_7b_instruct,gsm8k,math,model_incorrect,cross_domain,1,tier1,queued,bulk_ready
