run_name,experiment_name,model_count,benchmark_count,models,benchmarks,has_baseline,has_pools,has_sweep,has_aggregate,has_pipeline_result,status,path
crb_v2_bundle__deepseek_r1_distill_llama_8b__gsm8k__f7d30d9f8910f2d6,crb_v2_bundle__deepseek_r1_distill_llama_8b__gsm8k,1,1,deepseek_r1_distill_llama_8b,gsm8k,False,False,False,False,False,config_only,results_v2/crb_v2_bundle__deepseek_r1_distill_llama_8b__gsm8k__f7d30d9f8910f2d6
crb_v2_bundle__deepseek_r1_distill_qwen_7b__arc_challenge__d6d16ebd25451eb0,crb_v2_bundle__deepseek_r1_distill_qwen_7b__arc_challenge,1,1,deepseek_r1_distill_qwen_7b,arc_challenge,True,True,True,True,True,complete,results_v2/crb_v2_bundle__deepseek_r1_distill_qwen_7b__arc_challenge__d6d16ebd25451eb0
crb_v2_bundle__deepseek_r1_distill_qwen_7b__boolq__3786119ff54fb05b,crb_v2_bundle__deepseek_r1_distill_qwen_7b__boolq,1,1,deepseek_r1_distill_qwen_7b,boolq,True,True,True,True,True,complete,results_v2/crb_v2_bundle__deepseek_r1_distill_qwen_7b__boolq__3786119ff54fb05b
crb_v2_bundle__deepseek_r1_distill_qwen_7b__gpqa__f30cd5a572e4b0d1,crb_v2_bundle__deepseek_r1_distill_qwen_7b__gpqa,1,1,deepseek_r1_distill_qwen_7b,gpqa,True,True,True,True,True,complete,results_v2/crb_v2_bundle__deepseek_r1_distill_qwen_7b__gpqa__f30cd5a572e4b0d1
crb_v2_bundle__deepseek_r1_distill_qwen_7b__gsm8k__f5f3368d62cb3869,crb_v2_bundle__deepseek_r1_distill_qwen_7b__gsm8k,1,1,deepseek_r1_distill_qwen_7b,gsm8k,True,True,True,True,True,complete,results_v2/crb_v2_bundle__deepseek_r1_distill_qwen_7b__gsm8k__f5f3368d62cb3869
crb_v2_bundle__deepseek_r1_distill_qwen_7b__hellaswag__fda5da23f1a5f3e2,crb_v2_bundle__deepseek_r1_distill_qwen_7b__hellaswag,1,1,deepseek_r1_distill_qwen_7b,hellaswag,True,True,True,True,True,complete,results_v2/crb_v2_bundle__deepseek_r1_distill_qwen_7b__hellaswag__fda5da23f1a5f3e2
crb_v2_bundle__deepseek_r1_distill_qwen_7b__math500__857366b969fd3ac5,crb_v2_bundle__deepseek_r1_distill_qwen_7b__math500,1,1,deepseek_r1_distill_qwen_7b,math500,True,True,True,True,True,complete,results_v2/crb_v2_bundle__deepseek_r1_distill_qwen_7b__math500__857366b969fd3ac5
crb_v2_bundle__deepseek_r1_distill_qwen_7b__mmlu_pro__f508678f035ec494,crb_v2_bundle__deepseek_r1_distill_qwen_7b__mmlu_pro,1,1,deepseek_r1_distill_qwen_7b,mmlu_pro,True,True,True,True,True,complete,results_v2/crb_v2_bundle__deepseek_r1_distill_qwen_7b__mmlu_pro__f508678f035ec494
crb_v2_bundle__deepseek_r1_distill_qwen_7b__mmlu_redux_2__2611e95663989137,crb_v2_bundle__deepseek_r1_distill_qwen_7b__mmlu_redux_2,1,1,deepseek_r1_distill_qwen_7b,mmlu_redux_2,True,True,True,True,True,complete,results_v2/crb_v2_bundle__deepseek_r1_distill_qwen_7b__mmlu_redux_2__2611e95663989137
crb_v2_bundle__deepseek_r1_distill_qwen_7b__piqa__5fd79f4cb342c029,crb_v2_bundle__deepseek_r1_distill_qwen_7b__piqa,1,1,deepseek_r1_distill_qwen_7b,piqa,True,True,True,True,True,complete,results_v2/crb_v2_bundle__deepseek_r1_distill_qwen_7b__piqa__5fd79f4cb342c029
